date,open,high,low,close,volume,asset,source
2020-01-02,1795.26,1800.15,1783.22,1797.69,227392,XAU,seed
2020-01-03,1797.75,1800.68,1795.98,1796.77,110990,XAU,seed
2020-01-06,1789.5,1799.35,1783.64,1792.74,107787,XAU,seed
2020-01-07,1782.15,1782.15,1772.98,1778.21,160785,XAU,seed
2020-01-08,1777.51,1777.51,1769.3,1772.65,75353,XAU,seed
2020-01-09,1759.4,1771.3,1759.25,1761.89,82722,XAU,seed
2020-01-10,1781.71,1787.07,1770.3,1781.16,275891,XAU,seed
2020-01-13,1768.86,1781.52,1760.49,1773.44,70916,XAU,seed
2020-01-14,1796.91,1814.52,1793.28,1798.2,92638,XAU,seed
2020-01-15,1786.97,1801.39,1784.46,1789.47,209680,XAU,seed
2020-01-16,1771.26,1780.82,1771.26,1773.98,292585,XAU,seed
2020-01-17,1760.65,1767.09,1746.01,1758.71,110043,XAU,seed
2020-01-20,1773.51,1792.5,1766.63,1774.56,198682,XAU,seed
2020-01-21,1788.9,1802.95,1775.15,1787.24,170285,XAU,seed
2020-01-22,1797.15,1808.94,1790.9,1794.51,162311,XAU,seed
2020-01-23,1808.04,1821.9,1808.04,1811.09,73831,XAU,seed
2020-01-24,1809.29,1820.41,1801.51,1813.07,206345,XAU,seed
2020-01-27,1837.18,1855.7,1827.29,1831.73,275648,XAU,seed
2020-01-28,1856.66,1872.59,1850.69,1860.97,251483,XAU,seed
2020-01-29,1854.51,1877.27,1848.64,1855.23,279599,XAU,seed
2020-01-30,1848.39,1849.86,1845.28,1845.49,213918,XAU,seed
2020-01-31,1838.58,1846.31,1824.61,1837.38,191394,XAU,seed
2020-02-03,1886.96,1891.09,1875.88,1882.23,79325,XAU,seed
2020-02-04,1925.4,1925.4,1918.47,1921.58,280164,XAU,seed
2020-02-05,1917.03,1925.02,1890.16,1914.36,189645,XAU,seed
2020-02-06,1915.75,1923.19,1913.72,1916.03,278703,XAU,seed
